#=================================================================
# Freeform
# Report suite: Demo Data Adobe PM
"# Date: Aug 1, 2026 - Aug 31, 2026"
# Segments: Visits exists
#=================================================================


##############################################
# Freeform table
##############################################
,,Visits,Unique Visitors,Page Views
Page,,280945,280547,2402769
home,,118323,118323,171150
home,Marketing Channel,118323,118323,171150
home,Email,20556,20556,22692
home,Text,18061,18061,19741
home,Podcast,17743,17743,20421
home,Display,14945,14945,16516
home,Social Campaigns,14132,14132,15414
category 5,,55807,55807,71075
category 2,,53952,53952,65670
category 4,,52850,52850,65929
category 3,,52216,52216,62506
articles,,48210,48210,66751
category 1,,46022,46022,52371
app: launch,,45947,45947,84265
forum,,44660,44660,65516
search results,,43854,43854,59496
lead form: step 1,,43444,43444,60474
purchase: step 1,,39538,39538,43614
events,,36530,36530,49372
app: product details,,32727,32727,42960
mobile web: home,,22202,22202,34734
app: purchase step 1,,22005,22005,26324
app: navigation,,20160,20160,39675
app: category 1,,19605,19605,47915
lead form: step 2,,18890,18890,25364
location search results,,18841,18841,25410
courses,,17658,17658,19352
app: category 2,,16464,16464,31345
purchase: step 2,,15708,15708,16671
app: category 4,,15020,15020,25337
app: category 5,,14707,14707,24520
app: category 3,,14433,14433,25231
purchase: thank you,,14259,14259,15164
app: shop by category,,13838,13838,21867
event details,,13493,13493,16772
app: purchase step 2,,12310,12310,14674
lead form: thank you,,12142,12142,12343
students,,11948,11948,14705
admission,,11549,11549,15974
staff,,11146,11146,17037
mobile web: search results,,8381,8381,12154
mobile web: articles,,8297,8297,12258
app: category 1: subcategory 1b,,8202,8202,12296
app: category 1: subcategory 1c,,8141,8141,12209
app: category 1: subcategory 1a,,7755,7755,11673
app: wishlist,,7583,7583,10564
mobile web: forum,,7565,7565,11933
app: purchase confirmation,,7313,7313,8889
category 5: subcategory 5c,,7078,7078,7984
mobile web: lead form: step 1,,6965,6965,8966
category 4: subcategory 4c,,6567,6567,7456
approval: step 1,,6425,6425,7767
mobile web: events,,6401,6401,9177
category 2: subcategory 2c,,6311,6311,6986
app: category 5: subcategory 5c,,6163,6163,8526
app: category 5: subcategory 5a,,6109,6109,8637


